aqua hair,14,22800
black hair,14,24900
blonde hair,14,31400
blue hair,14,22800
brown hair,14,31400
gray hair,12,27500
green hair,14,24900
orange hair,12,27500
pink hair,14,31400
purple hair,14,24900
red hair,14,31400
white hair,14,24900
